unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1643183820,37309.0,37364.3,37309.0,37364.3,37332.4,5.35210248,17,2022-01-26 07:57:00,199977.56269346402
1643183880,37363.2,37369.2,37363.1,37369.2,37363.2,0.03408927,9,2022-01-26 07:58:00,1273.8887484839997
1643183940,37369.2,37375.4,37369.2,37372.4,37375.1,0.86127630,6,2022-01-26 07:59:00,32187.96239412
1643184000,37370.4,37370.4,37370.4,37370.4,37370.4,0.00018044,1,2022-01-26 08:00:00,6.743114976
1643184060,37397.2,37397.2,37397.2,37397.2,37397.2,0.26448590,7,2022-01-26 08:01:00,9891.032099479999
1643184120,37397.1,37411.6,37397.1,37408.6,37407.3,0.08059520,7,2022-01-26 08:02:00,3014.95359872
1643184180,37408.5,37424.5,37397.2,37424.5,37410.9,0.06081138,15,2022-01-26 08:03:00,2275.83549081
1643184240,37421.4,37421.4,37414.3,37419.4,37418.9,0.01445577,6,2022-01-26 08:04:00,540.926239938
1643184300,37419.5,37447.1,37414.9,37447.1,37420.4,0.04625036,9,2022-01-26 08:05:00,1731.941855956
1643184360,37447.2,37490.0,37447.2,37490.0,37475.2,1.50370148,26,2022-01-26 08:06:00,56373.768485199995
1643184420,37490.0,37490.0,37489.9,37489.9,37489.9,0.26975423,13,2022-01-26 08:07:00,10113.059107277
1643184480,37490.0,37500.0,37490.0,37500.0,37490.1,1.30610309,20,2022-01-26 08:08:00,48978.865874999996
1643184540,37500.0,37545.8,37500.0,37536.6,37525.9,1.49137453,37,2022-01-26 08:09:00,55981.129182798
1643184600,37542.9,37542.9,37519.7,37519.7,37531.0,0.05061753,4,2022-01-26 08:10:00,1899.1545403409998
1643184660,37510.5,37510.5,37509.3,37509.3,37510.3,0.05671329,4,2022-01-26 08:11:00,2127.275808597
1643184720,37509.2,37509.3,37509.2,37509.3,37509.2,0.02557276,5,2022-01-26 08:12:00,959.2163266680001
1643184780,37525.1,37525.1,37509.2,37509.2,37509.4,0.03322122,4,2022-01-26 08:13:00,1246.101385224
1643184840,37509.3,37509.3,37509.2,37509.3,37509.2,0.49930017,18,2022-01-26 08:14:00,18728.399866581
1643184900,37509.3,37518.6,37502.1,37517.6,37515.9,0.11649687,10,2022-01-26 08:15:00,4370.682969912
1643184960,37500.0,37500.1,37500.0,37500.1,37500.0,0.00353430,2,2022-01-26 08:16:00,132.53660343
1643185020,37500.1,37516.3,37500.1,37516.3,37507.9,0.09284847,6,2022-01-26 08:17:00,3483.3310550610004
1643185080,37515.0,37515.0,37515.0,37515.0,37515.0,0.00049638,1,2022-01-26 08:18:00,18.6216957
1643185140,37521.7,37528.5,37521.7,37524.5,37525.7,0.00562968,4,2022-01-26 08:19:00,211.25092716
1643185200,37509.1,37521.0,37509.1,37520.0,37518.0,0.83906939,14,2022-01-26 08:20:00,31481.883512800003
1643185260,37520.0,37567.0,37520.0,37560.8,37549.8,2.57447876,34,2022-01-26 08:21:00,96699.481808608
1643185320,37560.9,37567.8,37557.6,37567.8,37557.8,0.27115996,10,2022-01-26 08:22:00,10186.883145288
1643185380,37563.6,37597.4,37562.5,37590.2,37582.4,1.04153300,15,2022-01-26 08:23:00,39151.433776599995
1643185440,37595.0,37595.0,37585.4,37585.4,37594.9,0.98883052,8,2022-01-26 08:24:00,37165.590626408004
1643185500,37585.3,37585.5,37585.3,37585.4,37585.3,0.13609507,6,2022-01-26 08:25:00,5115.187643978001
1643185560,37585.4,37585.4,37546.4,37546.4,37584.7,0.47148335,6,2022-01-26 08:26:00,17702.502452440003
1643185620,37546.4,37552.4,37546.3,37552.4,37547.1,0.09754582,10,2022-01-26 08:27:00,3663.0796509680004
1643185680,37551.9,37633.5,37551.1,37633.5,37622.4,2.05385606,31,2022-01-26 08:28:00,77293.79203401001
1643185740,37561.2,37561.2,37561.2,37561.2,37561.2,0.00146400,1,2022-01-26 08:29:00,54.989596799999994
1643185800,37561.1,37580.0,37559.1,37580.0,37565.0,0.06907585,13,2022-01-26 08:30:00,2595.870443
1643185860,37580.0,37611.7,37580.0,37611.7,37602.5,0.07587241,8,2022-01-26 08:31:00,2853.690323197
1643185920,37620.0,37632.8,37612.0,37612.0,37630.3,1.46420951,14,2022-01-26 08:32:00,55071.84809012
1643185980,37590.3,37651.7,37590.3,37651.7,37611.7,0.15610299,10,2022-01-26 08:33:00,5877.542948582999
1643186040,37654.7,37654.7,37636.2,37640.0,37637.0,4.49470397,9,2022-01-26 08:34:00,169180.6574308
1643186100,37640.1,37654.5,37640.1,37652.4,37652.5,0.02213312,5,2022-01-26 08:35:00,833.365087488
1643186160,37655.9,37693.9,37655.9,37692.1,37659.6,0.37329758,13,2022-01-26 08:36:00,14070.369715118
1643186220,37697.2,37700.0,37682.0,37688.9,37694.2,0.23820649,12,2022-01-26 08:37:00,8977.740580961
1643186280,37691.0,37692.9,37687.8,37690.0,37689.6,1.26172481,10,2022-01-26 08:38:00,47554.4080889
1643186340,37686.2,37686.2,37678.8,37679.3,37682.3,1.07326664,4,2022-01-26 08:39:00,40439.935708552
1643186400,37678.7,37679.3,37659.5,37679.2,37668.6,0.05734778,5,2022-01-26 08:40:00,2160.818472176
1643186460,37678.4,37678.5,37678.4,37678.4,37678.4,5.03402077,23,2022-01-26 08:41:00,189673.848180368
1643186520,37647.0,37647.0,37640.0,37640.1,37642.4,1.69772781,7,2022-01-26 08:42:00,63902.644541181
1643186580,37640.0,37640.0,37640.0,37640.0,37640.0,0.00010427,1,2022-01-26 08:43:00,3.9247228
1643186640,37640.1,37640.1,37640.0,37640.1,37640.0,0.53720909,9,2022-01-26 08:44:00,20220.603868509
1643186700,37644.6,37647.9,37640.1,37640.1,37641.2,0.07647060,9,2022-01-26 08:45:00,2878.3610310599997
1643186760,37640.0,37640.1,37585.0,37585.8,37639.3,11.42464558,27,2022-01-26 08:46:00,429404.44384076406
1643186820,37561.8,37561.8,37542.7,37542.7,37552.9,0.39131418,15,2022-01-26 08:47:00,14690.990865486
1643186880,37542.7,37559.3,37542.7,37559.3,37552.8,0.04708662,9,2022-01-26 08:48:00,1768.5404865660003
1643186940,37559.4,37559.4,37559.3,37559.4,37559.3,1.45880616,10,2022-01-26 08:49:00,54791.884085904
1643187000,37559.4,37576.4,37559.4,37570.1,37571.3,0.17592000,11,2022-01-26 08:50:00,6609.331991999999
1643187060,37570.5,37585.1,37570.5,37585.1,37580.2,0.51600000,3,2022-01-26 08:51:00,19393.9116
1643187120,37585.9,37619.8,37585.9,37616.7,37604.6,0.03672285,7,2022-01-26 08:52:00,1381.3924315949998
1643187180,37616.6,37616.6,37608.2,37610.6,37612.7,0.77240956,7,2022-01-26 08:53:00,29050.786997336
1643187240,37619.8,37625.2,37588.0,37591.2,37617.4,0.01488613,5,2022-01-26 08:54:00,559.587490056
1643187300,37605.7,37635.1,37605.7,37621.4,37628.4,1.70890961,11,2022-01-26 08:55:00,64291.57200165401
1643187360,37631.7,37644.2,37631.7,37644.2,37633.6,0.01727831,9,2022-01-26 08:56:00,650.428157302
1643187420,37662.8,37668.4,37650.4,37667.3,37661.0,0.01892052,6,2022-01-26 08:57:00,712.684902996
1643187480,37667.4,37667.4,37651.2,37651.2,37656.5,0.04614332,7,2022-01-26 08:58:00,1737.351369984
1643187540,37650.3,37662.7,37650.3,37650.6,37651.2,4.31956242,15,2022-01-26 08:59:00,162634.11685045197
1643187600,37650.5,37650.5,37638.1,37647.5,37647.6,1.38907930,15,2022-01-26 09:00:00,52295.36294675
1643187660,37647.5,37711.2,37647.5,37688.0,37706.1,0.51551482,18,2022-01-26 09:01:00,19428.722536160003
