unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1643182860,2464.48,2464.95,2464.17,2464.95,2464.27,1.16629000,5,2022-01-26 07:41:00,2874.8465355
1643182920,2463.94,2465.39,2463.60,2465.39,2465.25,3.15341737,6,2022-01-26 07:42:00,7774.4036498242995
1643182980,2465.39,2465.39,2465.37,2465.37,2465.38,1.11399173,13,2022-01-26 07:43:00,2746.4017913901
1643183040,2465.38,2465.38,2465.37,2465.37,2465.37,1.64298825,9,2022-01-26 07:44:00,4050.5739419024994
1643183100,2465.38,2465.38,2462.42,2462.42,2465.07,1.64581237,6,2022-01-26 07:45:00,4052.6812961354003
1643183160,2462.43,2462.43,2460.47,2460.47,2462.33,0.21863421,3,2022-01-26 07:46:00,537.9429146786999
1643183220,2460.47,2460.47,2459.37,2459.37,2459.80,1.23577926,5,2022-01-26 07:47:00,3039.2384386661997
1643183280,2460.02,2463.03,2460.02,2463.03,2462.85,20.46538282,8,2022-01-26 07:48:00,50406.8518471446
1643183340,2461.45,2461.54,2461.42,2461.44,2461.44,1.89784889,11,2022-01-26 07:49:00,4671.4411718016
1643183400,2461.64,2461.64,2461.55,2461.56,2461.60,10.66977388,10,2022-01-26 07:50:00,26264.2885920528
1643183460,2458.19,2458.19,2457.39,2457.39,2457.91,0.15244623,5,2022-01-26 07:51:00,374.61984113969993
1643183520,2457.39,2457.39,2457.39,2457.39,2457.39,0.00510511,1,2022-01-26 07:52:00,12.545246262900001
1643183580,2457.38,2457.39,2457.38,2457.39,2457.38,0.34160310,5,2022-01-26 07:53:00,839.452041909
1643183640,2457.39,2457.39,2457.39,2457.39,2457.39,0.50652013,2,2022-01-26 07:54:00,1244.7175022606998
1643183700,2459.99,2459.99,2459.93,2459.93,2459.95,0.56177580,10,2022-01-26 07:55:00,1381.929143694
1643183760,2459.93,2459.93,2459.92,2459.92,2459.92,0.36499529,6,2022-01-26 07:56:00,897.8592137768
1643183820,2459.93,2464.50,2459.93,2464.50,2460.28,5.48723723,12,2022-01-26 07:57:00,13523.296153334999
1643183880,2463.03,2464.25,2463.03,2464.25,2464.15,0.47560096,6,2022-01-26 07:58:00,1171.9996656800001
1643183940,2463.51,2463.51,2463.51,2463.51,2463.51,0.03783333,1,2022-01-26 07:59:00,93.2027867883
1643184000,2463.03,2466.87,2463.03,2466.87,2465.49,11.90525698,25,2022-01-26 08:00:00,29368.7212862526
1643184060,2466.95,2467.45,2465.91,2467.13,2466.94,0.81934218,14,2022-01-26 08:01:00,2021.4236725434002
1643184120,2467.24,2470.99,2466.99,2470.99,2468.64,2.01525621,15,2022-01-26 08:02:00,4979.677942347899
1643184180,2469.40,2471.45,2468.79,2471.24,2469.88,0.12356723,6,2022-01-26 08:03:00,305.36428146519995
1643184240,2470.71,2471.46,2470.71,2471.18,2471.44,3.93831381,7,2022-01-26 08:04:00,9732.282320995799
1643184300,2471.49,2477.95,2471.48,2477.74,2474.78,51.50425995,50,2022-01-26 08:05:00,127614.16504851298
1643184360,2476.65,2479.83,2476.65,2479.83,2478.13,2.88304118,14,2022-01-26 08:06:00,7149.452009399401
1643184420,2478.54,2478.54,2476.21,2476.21,2478.48,1.55384557,5,2022-01-26 08:07:00,3847.6479388897
1643184480,2477.95,2477.96,2477.82,2477.96,2477.92,3.18710305,7,2022-01-26 08:08:00,7897.513873778001
1643184540,2477.84,2479.84,2477.84,2478.85,2478.28,7.40057528,12,2022-01-26 08:09:00,18344.916032827998
